200/9516 probed, 85 species with video, 0 failed
400/9516 probed, 127 species with video, 0 failed
600/9516 probed, 165 species with video, 0 failed
800/9516 probed, 206 species with video, 0 failed
1000/9516 probed, 233 species with video, 0 failed
1200/9516 probed, 244 species with video, 0 failed
1400/9516 probed, 255 species with video, 0 failed
1600/9516 probed, 271 species with video, 0 failed
1800/9516 probed, 290 species with video, 0 failed
2000/9516 probed, 300 species with video, 0 failed
2200/9516 probed, 311 species with video, 0 failed
! Lepidocolaptes affinis: fetch failed
! Premnoplex brunnescens: fetch failed
! Pyriglena leucoptera: fetch failed
! Aglaeactis cupripennis: fetch failed
! Ortalis ruficauda: fetch failed
2400/9516 probed, 317 species with video, 5 failed
2600/9516 probed, 324 species with video, 5 failed
2800/9516 probed, 333 species with video, 5 failed
3000/9516 probed, 337 species with video, 5 failed
3200/9516 probed, 345 species with video, 5 failed
3400/9516 probed, 348 species with video, 5 failed
3600/9516 probed, 356 species with video, 5 failed
3800/9516 probed, 357 species with video, 5 failed
4000/9516 probed, 357 species with video, 5 failed
4200/9516 probed, 360 species with video, 5 failed
4400/9516 probed, 364 species with video, 5 failed
4600/9516 probed, 365 species with video, 5 failed
4800/9516 probed, 366 species with video, 5 failed
5000/9516 probed, 366 species with video, 5 failed
5200/9516 probed, 371 species with video, 5 failed
5400/9516 probed, 375 species with video, 5 failed
5600/9516 probed, 380 species with video, 5 failed
5800/9516 probed, 381 species with video, 5 failed
6000/9516 probed, 382 species with video, 5 failed
6200/9516 probed, 384 species with video, 5 failed
6400/9516 probed, 385 species with video, 5 failed
6600/9516 probed, 387 species with video, 5 failed
6800/9516 probed, 389 species with video, 5 failed
7000/9516 probed, 393 species with video, 5 failed
7200/9516 probed, 396 species with video, 5 failed
7400/9516 probed, 397 species with video, 5 failed
7600/9516 probed, 397 species with video, 5 failed
7800/9516 probed, 398 species with video, 5 failed
8000/9516 probed, 398 species with video, 5 failed
8200/9516 probed, 399 species with video, 5 failed
8400/9516 probed, 400 species with video, 5 failed
8600/9516 probed, 400 species with video, 5 failed
8800/9516 probed, 400 species with video, 5 failed
9000/9516 probed, 400 species with video, 5 failed
9200/9516 probed, 402 species with video, 5 failed
9400/9516 probed, 402 species with video, 5 failed
done: 9516 probed | 385 species have a licensed video | 5 failed
